Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
D,430,Dier,5.0,5.0,Spurs,88,4.14,83,3.77,76,2.74,72,3.60,67,1.35
M,431,Lucas Moura,6.0,6.0,Spurs,7,0.52,13,0.90,10,0.62,12,0.93,9,0.49
D,432,Davies,5.0,5.0,Spurs,55,2.51,35,1.62,37,1.36,33,1.70,33,0.72
M,433,Højbjerg,5.5,5.5,Spurs,71,2.57,79,2.74,72,2.28,67,2.52,68,1.85
M,434,Winks,4.5,4.5,Spurs,2,0.09,2,0.10,2,0.08,5,0.21,2,0.09
D,435,Sánchez,4.4,4.4,Spurs,28,1.40,22,1.04,22,0.85,26,1.36,28,0.62
D,436,R.Sessegnon,4.5,4.5,Spurs,52,3.21,33,1.93,33,1.61,40,2.59,46,1.37
M,437,Bergwijn,5.5,5.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,438,Reguilón,4.4,4.4,Spurs,1,0.04,1,0.04,2,0.08,2,0.10,2,0.06
D,439,Tanganga,4.0,4.0,Spurs,5,0.22,6,0.26,4,0.16,6,0.30,9,0.26
M,440,Bentancur,5.5,5.5,Spurs,65,2.51,61,2.35,62,2.14,64,2.56,60,1.78
M,441,Skipp,4.5,4.5,Spurs,0,0.00,6,0.24,9,0.32,9,0.35,17,0.55
D,442,Rodon,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,443,Romero,5.0,5.0,Spurs,86,3.98,77,3.50,75,2.67,79,3.88,75,1.50
M,444,Bissouma,5.0,5.0,Spurs,44,1.92,36,1.57,39,1.55,40,1.85,37,1.27
D,445,Emerson Royal,5.0,5.0,Spurs,47,2.74,33,1.88,31,1.44,23,1.39,21,0.61
M,446,Kulusevski,8.1,8.1,Spurs,69,4.21,63,3.81,57,3.00,61,4.00,58,2.38
F,447,Scarlett,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,448,Perišić,5.4,5.4,Spurs,63,4.11,64,3.97,62,3.13,59,4.09,59,1.74
M,449,White,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,450,Sarr,4.5,4.5,Spurs,0,0.02,0,0.03,0,0.00,0,0.00,0,0.00
G,451,Austin,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,452,Devine,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,453,Parrott,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,454,Richarlison,8.5,8.5,Spurs,22,1.33,32,1.93,38,2.00,35,2.27,36,1.49
G,455,Fabianski,5.0,5.0,West Ham,89,3.68,87,3.32,87,3.23,88,3.08,85,3.52
D,456,Ogbonna,4.5,4.5,West Ham,29,1.14,33,1.10,33,1.06,38,0.89,49,1.87
D,457,Cresswell,5.0,5.0,West Ham,84,3.48,72,2.49,72,2.36,69,1.64,72,3.06
F,458,Antonio,7.5,7.5,West Ham,52,2.65,61,2.83,64,2.87,59,2.32,66,3.38
D,459,Dawson,5.0,5.0,West Ham,42,1.64,62,2.06,59,1.84,63,1.42,46,1.81
M,460,Lanzini,5.5,5.5,West Ham,60,2.98,58,2.62,55,2.44,54,2.10,54,2.71
D,461,Zouma,4.5,4.5,West Ham,81,3.03,78,2.46,83,2.42,77,1.64,78,2.92
D,462,Masuaku,4.5,4.5,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,463,Coufal,4.5,4.5,West Ham,85,3.22,82,2.62,79,2.42,79,1.74,79,3.03
M,464,Benrahma,6.0,6.0,West Ham,25,1.51,25,1.37,28,1.48,27,1.30,32,1.91
M,465,Bowen,8.5,8.5,West Ham,80,4.45,72,3.59,72,3.46,67,2.75,74,4.08
M,466,Vlasic,5.0,5.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,467,Rice,5.0,5.0,West Ham,87,2.77,83,2.48,84,2.49,81,2.18,80,2.59
M,468,Soucek,5.5,5.5,West Ham,84,2.96,84,2.75,83,2.67,81,2.33,79,2.82
M,469,Fornals,5.5,5.5,West Ham,69,3.19,63,2.67,61,2.53,61,2.19,55,2.60
D,470,Diop,4.5,4.5,Fulham,11,0.36,10,0.20,10,0.31,11,0.21,12,0.27
D,471,Johnson,4.5,4.5,West Ham,30,1.22,28,1.01,31,1.03,29,0.76,31,1.29
D,472,Aguerd,5.0,5.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,473,Areola,4.5,4.5,West Ham,0,0.01,3,0.11,3,0.12,2,0.07,5,0.19
D,474,Boly,4.5,4.5,Wolves,55,1.09,45,1.53,46,1.58,49,1.89,50,0.59
D,475,Coady,4.9,4.9,Everton,78,3.52,80,2.49,81,2.52,78,1.52,75,1.68
F,476,Jiménez,6.9,6.9,Wolves,0,0.00,11,0.60,26,1.32,20,1.16,52,1.85
D,477,Jonny,4.5,4.5,Wolves,68,1.62,67,2.64,52,2.08,58,2.58,60,0.90
G,478,Sá,5.0,5.0,Wolves,90,3.16,88,3.59,87,3.55,88,3.75,88,3.08
M,479,Dendoncker,5.0,5.0,Wolves,77,2.26,55,1.92,45,1.58,52,1.97,42,1.18
M,480,Neves,5.5,5.5,Wolves,79,2.73,76,3.22,71,2.93,70,3.14,71,2.10
M,481,Hwang,6.0,6.0,Wolves,47,2.01,41,2.24,39,2.15,47,2.71,32,1.34
D,482,Semedo,5.0,5.0,Wolves,27,0.70,40,1.54,67,2.50,60,2.49,62,0.84
M,483,Podence,5.5,5.5,Wolves,62,2.28,49,2.33,54,2.50,50,2.56,43,1.51
D,484,Kilman,4.5,4.5,Wolves,78,1.54,76,2.58,79,2.75,73,2.81,66,0.77
M,485,Cundle,4.5,4.5,Wolves,13,0.56,13,0.61,12,0.58,8,0.39,11,0.47
M,486,Neto,5.5,5.5,Wolves,75,2.81,74,3.53,70,3.35,69,3.64,67,2.30
D,487,Aït-Nouri,4.5,4.5,Wolves,73,1.61,61,2.25,56,2.10,53,2.26,51,0.69
F,488,Fabio Silva,5.5,5.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,489,Toti,4.0,4.0,Wolves,4,0.13,5,0.20,14,0.51,9,0.35,12,0.20
M,490,Chiquinho,5.0,5.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,491,Adama,5.5,5.5,Wolves,17,0.76,17,0.90,20,1.01,16,0.87,20,0.82
G,492,Šarkić,4.0,4.0,Wolves,0,0.00,2,0.06,3,0.14,2,0.06,2,0.06
M,493,Gibbs-White,5.5,5.5,Wolves,23,0.93,30,1.53,23,1.16,20,1.14,22,0.83
D,494,Mosquera,4.0,4.0,Wolves,0,0.00,0,0.00,1,0.04,1,0.05,0,0.01
G,495,Matthews,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,496,Plange,4.5,4.5,Crystal Palace,3,0.23,1,0.11,1,0.13,3,0.20,5,0.36
G,497,Adrián,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,498,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,499,Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,500,Van den Berg,4.0,4.0,Liverpool,2,0.07,2,0.08,0,0.00,1,0.03,1,0.04
D,501,Phillips,4.0,4.0,Liverpool,10,0.40,2,0.11,2,0.07,3,0.13,3,0.14
G,502,Carson,4.0,4.0,Man City,0,0.00,2,0.09,0,0.01,3,0.14,2,0.07
M,503,Moutinho,4.9,4.9,Wolves,18,0.59,64,2.23,68,2.35,78,2.87,75,2.03
D,504,Malacia,4.5,4.5,Man Utd,37,0.95,37,1.50,39,1.35,34,1.22,41,1.52
M,505,Rothwell,5.0,5.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,10,0.45
M,506,Adams,5.0,5.0,Leeds,80,2.19,83,2.27,70,2.21,78,2.20,74,2.42
D,507,Niakhaté,4.5,4.5,Nott'm Forest,79,2.14,66,1.51,69,0.60,51,1.97,54,1.39
M,508,Sinisterra,6.5,6.5,Leeds,28,1.29,51,2.16,42,2.19,45,2.03,49,2.71
M,509,Downes,4.5,4.5,West Ham,13,0.56,11,0.47,10,0.42,17,0.66,21,0.87
D,510,Hickey,5.0,5.0,Brentford,77,2.81,64,2.77,62,2.05,55,2.27,66,2.34
D,511,Richards,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,512,Aribo,5.5,5.5,Southampton,48,2.07,60,2.77,54,2.27,50,2.23,44,2.27
D,513,Lenglet,5.0,5.0,Spurs,9,0.43,51,2.29,60,2.17,59,2.90,64,1.30
M,514,C.Doucouré,5.0,5.0,Crystal Palace,78,2.55,69,1.76,72,2.39,61,1.81,62,1.93
M,515,Lewis-Potter,5.5,5.5,Brentford,11,0.59,16,0.92,11,0.55,19,1.04,15,0.80
D,516,Collins,4.5,4.5,Wolves,77,1.68,79,2.97,64,2.48,72,3.10,75,0.98
G,517,Strakosha,4.5,4.5,Brentford,1,0.04,2,0.08,3,0.11,3,0.13,5,0.18
G,518,Hennessey,4.0,4.0,Nott'm Forest,3,0.11,2,0.05,3,0.12,5,0.18,7,0.26
M,519,Eriksen,6.5,6.5,Man Utd,66,2.33,66,2.91,62,2.46,56,2.29,62,2.52
D,520,Koulibaly,5.5,5.5,Chelsea,84,3.48,80,3.64,78,3.44,76,3.46,77,3.53
M,521,Francois,4.5,4.5,Fulham,3,0.15,4,0.20,6,0.30,7,0.31,4,0.23
D,522,Spence,4.4,4.4,Spurs,1,0.04,2,0.11,0,0.01,0,0.02,1,0.03
D,523,Toffolo,4.5,4.5,Nott'm Forest,76,2.44,75,2.02,71,0.81,63,2.85,62,1.89
M,524,O'Brien,5.0,5.0,Nott'm Forest,51,1.75,47,1.58,43,1.31,46,1.79,49,1.67
D,525,Augustinsson,4.5,4.5,Aston Villa,0,0.00,1,0.05,1,0.02,0,0.00,2,0.05
D,526,Mee,4.5,4.5,Brentford,77,3.03,80,3.70,78,2.67,70,3.11,64,2.42
M,527,Lingard,6.0,6.0,Nott'm Forest,72,2.95,73,2.81,68,2.16,63,3.19,64,2.62
F,528,Mara,5.5,5.5,Southampton,1,0.04,2,0.11,1,0.06,2,0.14,1,0.07
F,529,Scamacca,7.0,7.0,West Ham,32,1.88,31,1.64,28,1.50,36,1.59,24,1.45
D,530,Richards,4.5,4.5,Crystal Palace,6,0.19,11,0.20,15,0.60,24,0.80,19,0.70
D,531,Vinagre,4.5,4.5,Everton,13,0.62,22,0.82,14,0.51,14,0.37,12,0.32
D,532,Mbabu,4.5,4.5,Fulham,43,1.63,61,1.23,60,2.01,65,1.25,65,1.58
D,533,Martínez,4.5,4.5,Man Utd,59,1.48,60,2.39,56,1.90,54,1.93,56,2.11
M,534,McNeil,5.5,5.5,Everton,57,2.81,58,2.35,55,2.27,54,1.95,46,1.73
M,535,Tavernier,5.0,5.0,Bournemouth,52,1.75,44,1.26,53,2.00,56,2.07,42,1.56
M,536,Mangala,5.0,5.0,Nott'm Forest,64,2.15,61,1.98,51,1.52,48,1.88,48,1.66
D,537,Kesler Hayden,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,538,Young,4.5,4.5,Aston Villa,11,0.43,13,0.59,12,0.39,16,0.49,20,0.74
D,539,Hill,4.5,4.5,Bournemouth,18,0.49,24,0.31,19,0.66,21,0.72,26,0.85
D,540,Stevens,4.0,4.0,Brentford,1,0.03,1,0.03,1,0.02,0,0.01,0,0.01
F,541,Dervişoğlu,4.5,4.5,Brentford,1,0.03,1,0.07,2,0.12,2,0.15,2,0.14
G,542,Scherpen,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,543,Clarke,4.0,4.0,Brighton,1,0.06,6,0.25,9,0.35,3,0.14,6,0.27
D,544,Van Hecke,4.0,4.0,Brighton,1,0.03,1,0.04,2,0.07,5,0.22,5,0.22
D,545,Emerson,4.0,4.0,Chelsea,3,0.12,3,0.11,2,0.10,7,0.32,1,0.05
M,546,Harris,4.5,4.5,Fulham,0,0.02,0,0.00,1,0.07,1,0.03,1,0.06
D,547,Drameh,4.0,4.0,Leeds,14,0.40,8,0.26,10,0.39,11,0.37,6,0.29
G,548,Iversen,4.0,4.0,Leicester,8,0.34,10,0.35,18,0.71,12,0.45,17,0.68
M,549,Praet,5.0,5.0,Leicester,2,0.11,4,0.20,5,0.25,5,0.22,5,0.26
M,550,Amad,4.5,4.5,Man Utd,8,0.46,6,0.42,5,0.30,5,0.35,6,0.37
M,551,Iqbal,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,1,0.02,0,0.01
M,552,Anderson,4.5,4.5,Newcastle,1,0.04,1,0.03,3,0.14,2,0.10,4,0.18
M,553,Hammond,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.01,0,0.00,1,0.03
M,554,Bryan,5.0,5.0,Spurs,2,0.22,3,0.28,4,0.29,3,0.29,5,0.34
D,555,Ashby,4.0,4.0,West Ham,5,0.21,4,0.14,5,0.17,6,0.16,5,0.21
M,556,Coventry,4.5,4.5,West Ham,3,0.12,4,0.19,2,0.07,3,0.14,4,0.18
G,557,Smith,4.0,4.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,558,Bueno,4.0,4.0,Wolves,5,0.15,5,0.20,4,0.16,6,0.27,5,0.11
D,559,Colwill,4.5,4.5,Brighton,17,0.54,20,0.84,17,0.66,24,0.96,20,0.82
M,560,Mills,4.5,4.5,Everton,3,0.16,2,0.10,3,0.13,3,0.11,6,0.24
M,561,Warrington,4.5,4.5,Everton,2,0.09,3,0.12,3,0.13,5,0.23,4,0.17
M,562,Solomon,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,563,Chambers,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00
M,564,Bajcetic,4.5,4.5,Liverpool,1,0.07,1,0.07,1,0.05,3,0.15,2,0.10
M,565,Gray,4.5,4.5,Leeds,1,0.04,0,0.00,0,0.01,0,0.02,0,0.01
M,566,Hodge,4.5,4.5,Wolves,2,0.08,2,0.09,3,0.14,3,0.13,2,0.07
M,567,Ronan,4.5,4.5,Wolves,18,0.68,13,0.56,8,0.38,11,0.51,7,0.28
M,568,Campbell,4.5,4.5,Wolves,12,0.46,3,0.14,7,0.34,3,0.16,7,0.27
M,569,Garnacho,4.5,4.5,Man Utd,1,0.07,2,0.10,2,0.09,2,0.10,2,0.10
M,570,Garner,4.5,4.5,Man Utd,1,0.05,3,0.11,2,0.10,6,0.23,7,0.29
G,571,Randolph,4.0,4.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,572,Oko-Flex,4.5,4.5,West Ham,8,0.41,7,0.38,9,0.45,12,0.53,10,0.55
D,573,Lewis,4.0,4.0,Man City,2,0.11,3,0.14,4,0.24,7,0.31,1,0.05
G,574,Neto,4.5,4.5,Bournemouth,17,0.59,17,0.60,18,0.72,22,0.83,24,0.93
M,575,Cornet,6.0,6.0,West Ham,33,1.82,42,2.05,45,2.13,44,1.84,43,2.28
D,576,Senesi,4.5,4.5,Bournemouth,80,1.96,80,0.76,80,2.73,78,2.53,75,2.32
M,577,Onana,5.0,5.0,Everton,27,1.20,24,0.88,22,0.84,30,1.01,28,0.95
G,578,Robles,4.0,4.0,Leeds,0,0.00,0,0.00,0,0.00,2,0.06,0,0.00
M,579,Guedes,6.0,6.0,Wolves,69,2.86,75,4.02,68,3.63,73,4.25,68,2.40
M,580,Damsgaard,5.5,5.5,Brentford,21,1.16,28,1.68,39,1.87,23,1.37,34,1.78
D,10020,Abdul-Rahman Baba,99.9,99.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
F,10033,Florin Andone,99.9,99.9,Brighton,0,0.00,1,0.05,0,0.01,1,0.07,1,0.06
F,10052,Joel Valencia,99.9,99.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
D,10054,Luka Racic,99.9,99.9,Brentford,0,0.01,1,0.04,0,0.00,1,0.07,0,0.01
M,10088,Bruno Jordão,99.9,99.9,Wolves,2,0.09,2,0.08,3,0.13,1,0.06,4,0.17
F,10094,Patrick Cutrone,99.9,99.9,Wolves,3,0.22,1,0.10,1,0.10,2,0.15,1,0.10
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10132,Tahith Chong,99.9,99.9,Man Utd,1,0.08,1,0.09,2,0.12,1,0.07,1,0.07
G,10133,Marcus Bettinelli,99.9,99.9,Chelsea,0,0.00,0,0.01,2,0.07,0,0.00,2,0.07
G,10150,Andy Lonergan,99.9,99.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10200,Hannibal Mejbri,99.9,99.9,Man Utd,1,0.05,1,0.05,2,0.11,3,0.17,4,0.26
D,10201,Teden Mengi,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00
F,10202,Shola Shoretire,99.9,99.9,Man Utd,2,0.17,2,0.18,2,0.14,3,0.22,2,0.13
F,10228,Marlos Moreno,99.9,99.9,Man City,0,0.02,1,0.05,2,0.18,0,0.04,2,0.15
M,10229,Ante Palaversa,99.9,99.9,Man City,6,0.27,3,0.15,2,0.13,5,0.26,3,0.16
F,10232,Léo Bonatini,99.9,99.9,Wolves,1,0.08,1,0.06,3,0.16,2,0.14,1,0.05
M,10233,Mateusz Bogusz,99.9,99.9,Leeds,0,0.00,0,0.01,1,0.06,0,0.03,1,0.05
D,10241,Benjamin Mendy,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10242,Tanguy Ndombélé,99.9,99.9,Spurs,3,0.17,3,0.21,4,0.25,2,0.13,5,0.23
M,10243,Giovani Lo Celso,99.9,99.9,Spurs,1,0.06,1,0.10,2,0.17,4,0.28,2,0.15
G,10245,Rúnar Alex Rúnarsson,99.9,99.9,Arsenal,0,0.00,0,0.00,2,0.07,2,0.06,2,0.07
D,10246,Héctor Bellerín,99.9,99.9,Arsenal,0,0.00,1,0.06,1,0.05,3,0.14,1,0.08
M,10249,Matty Longstaff,99.9,99.9,Newcastle,8,0.34,12,0.50,12,0.45,16,0.69,14,0.58
F,10252,Evan Ferguson,99.9,99.9,Brighton,0,0.00,0,0.01,1,0.07,1,0.06,1,0.05
F,10253,Tariqe Fosu,99.9,99.9,Brentford,0,0.00,1,0.05,0,0.03,1,0.09,3,0.20
F,10258,Michy Batshuayi,99.9,99.9,Chelsea,2,0.15,3,0.23,6,0.37,4,0.29,4,0.28
D,10260,Axel Tuanzebe,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.02
F,10263,Mason Greenwood,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10271,Ian Poveda,99.9,99.9,Leeds,0,0.00,0,0.01,0,0.01,1,0.04,0,0.00
M,10272,Cheikhou Kouyaté,99.9,99.9,Nott'm Forest,80,2.15,80,2.07,78,1.83,75,2.21,71,1.94
G,10275,Jordan Smith,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,2,0.06,0,0.00
G,10296,Nathan Trott,99.9,99.9,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10305,Issa Kaboré,99.9,99.9,Man City,2,0.07,2,0.07,3,0.15,1,0.03,2,0.06
D,10311,Kell Watts,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00
F,10315,Thomas Agyepong,99.9,99.9,Man City,2,0.13,2,0.14,2,0.13,2,0.14,2,0.16
G,10319,Alex Smithies,99.9,99.9,Leicester,0,0.00,2,0.05,0,0.01,3,0.11,2,0.06
F,10320,Emmanuel Dennis,99.9,99.9,Nott'm Forest,5,0.25,6,0.26,4,0.16,8,0.42,9,0.43
